什么	0	0	0	0	0	PN	O
是	0	0	0	0	0	VC	O
天翼	3	0	0	0	0	NN	B-BUS
闲时	0	0	0	0	0	AD	I-BUS
流量	0	0	0	0	1	NN	I-BUS
包	1	0	0	0	0	VV	I-BUS

办理	0	0	0	0	0	VV	O
天翼	3	0	0	0	0	NN	B-BUS
闲时	0	0	0	0	0	NN	I-BUS
流量	0	0	0	0	1	NN	I-BUS
包	1	0	0	0	0	VV	I-BUS
的	0	0	0	0	0	DEC	O
首月	0	0	0	0	0	NN	O
怎么	0	0	0	0	0	AD	O
收费	0	0	0	0	0	VV	O

天翼	3	0	0	0	0	NN	B-BUS
闲时	0	0	0	0	0	AD	I-BUS
流量	0	0	0	0	1	NN	I-BUS
包	1	0	0	0	0	VV	I-BUS
的	0	0	0	0	0	DEC	O
费	0	0	0	0	0	NN	O
用是	0	0	0	0	0	AD	O
如何	0	0	0	0	0	AD	O
收取	0	0	0	0	0	VV	O
的	0	0	0	0	0	SP	O

怎么	0	0	0	0	0	AD	O
办理	0	0	0	0	0	VV	O
天翼	3	0	0	0	0	NN	B-BUS
闲时	0	0	0	0	0	AD	I-BUS
流量	0	0	0	0	1	NN	I-BUS
包	1	0	0	0	0	VV	I-BUS

怎么	0	0	0	0	0	AD	O
变更	0	0	0	0	0	VV	O
天翼	3	0	0	0	0	NN	B-BUS
闲时	0	0	0	0	0	JJ	I-BUS
流量	0	0	0	0	1	NN	I-BUS
包	1	0	0	0	0	VV	I-BUS
的	0	0	0	0	0	DEC	O
档次	0	0	0	0	0	NN	O

怎么	0	0	0	0	0	AD	O
取消	0	0	0	0	0	VV	O
天翼	3	0	0	0	0	NN	B-BUS
闲时	0	0	0	0	0	AD	I-BUS
流量	0	0	0	0	1	NN	I-BUS
包	1	0	0	0	0	VV	I-BUS

天翼	3	0	0	0	0	NN	B-BUS
闲时	0	0	0	0	0	AD	I-BUS
流量	0	0	0	0	1	NN	I-BUS
包	1	0	0	0	0	VV	I-BUS
是	0	0	0	0	0	VC	O
省内	0	0	0	0	0	NN	O
还是	0	0	0	0	0	CC	O
国内	0	0	0	0	0	NN	O
流量	0	0	0	0	0	NN	O

只	0	0	0	0	0	AD	O
在	0	0	0	0	0	P	O
晚上	0	0	0	0	0	NT	O
使用	0	0	0	0	0	VV	O
手机	0	0	0	0	0	NN	O
上网	0	0	0	0	0	VV	O
有	0	0	0	0	0	VE	O
什么	0	0	0	0	0	DT	O
套餐	0	0	0	0	0	NN	O
可以	0	0	0	0	0	VV	O
选择	0	0	0	0	0	VV	O

什么	0	0	0	0	0	PN	O
是	0	0	0	0	0	VC	O
微	0	0	0	0	0	AD	O
信	0	0	0	0	0	VV	O
流量	0	0	0	0	0	NN	O
礼包	0	0	0	0	0	NN	O

微	0	0	0	0	0	AD	O
信	0	0	0	0	0	VV	O
流量	0	0	0	0	0	NN	O
礼包	0	0	0	0	0	NN	O
的	0	0	0	0	0	DEG	O
费	0	0	0	0	0	NN	O
用是	0	0	0	0	0	AD	O
如何	0	0	0	0	0	AD	O
收取	0	0	0	0	0	VV	O
的	0	0	0	0	0	SP	O

怎么	0	0	0	0	0	AD	O
使用	0	0	0	0	0	VV	O
微	0	0	0	0	0	AD	O
信	0	0	0	0	0	VV	O
流量	0	0	0	0	0	NN	O
礼包	0	0	0	0	0	NN	O

使用	0	0	0	0	0	VV	O
